"","B11003_003E","B11003_001E","NAME","state","county","tract","block group"
"245","49","414","Block Group 2, Census Tract 71, District of Columbia, District of Columbia","11","001","007100","2"
"246","34","209","Block Group 1, Census Tract 72, District of Columbia, District of Columbia","11","001","007200","1"
"247","0","69","Block Group 2, Census Tract 72, District of Columbia, District of Columbia","11","001","007200","2"
"248","394","626","Block Group 1, Census Tract 73.01, District of Columbia, District of Columbia","11","001","007301","1"
"249","55","483","Block Group 1, Census Tract 73.04, District of Columbia, District of Columbia","11","001","007304","1"
"250","0","76","Block Group 2, Census Tract 73.04, District of Columbia, District of Columbia","11","001","007304","2"
"251","0","147","Block Group 3, Census Tract 73.04, District of Columbia, District of Columbia","11","001","007304","3"
"252","11","335","Block Group 1, Census Tract 74.01, District of Columbia, District of Columbia","11","001","007401","1"
"253","11","150","Block Group 2, Census Tract 74.01, District of Columbia, District of Columbia","11","001","007401","2"
"254","45","787","Block Group 1, Census Tract 74.03, District of Columbia, District of Columbia","11","001","007403","1"
"255","86","504","Block Group 1, Census Tract 74.04, District of Columbia, District of Columbia","11","001","007404","1"
"256","0","147","Block Group 2, Census Tract 74.04, District of Columbia, District of Columbia","11","001","007404","2"
"257","0","120","Block Group 3, Census Tract 74.04, District of Columbia, District of Columbia","11","001","007404","3"
"258","15","416","Block Group 1, Census Tract 74.06, District of Columbia, District of Columbia","11","001","007406","1"
"259","38","307","Block Group 2, Census Tract 74.06, District of Columbia, District of Columbia","11","001","007406","2"
"260","0","247","Block Group 1, Census Tract 74.07, District of Columbia, District of Columbia","11","001","007407","1"
"261","46","484","Block Group 2, Census Tract 74.07, District of Columbia, District of Columbia","11","001","007407","2"
"262","62","596","Block Group 1, Census Tract 74.08, District of Columbia, District of Columbia","11","001","007408","1"
"263","17","222","Block Group 1, Census Tract 74.09, District of Columbia, District of Columbia","11","001","007409","1"
"264","84","318","Block Group 2, Census Tract 74.09, District of Columbia, District of Columbia","11","001","007409","2"
"265","46","336","Block Group 3, Census Tract 74.09, District of Columbia, District of Columbia","11","001","007409","3"
"266","25","525","Block Group 1, Census Tract 75.02, District of Columbia, District of Columbia","11","001","007502","1"
"267","42","315","Block Group 2, Census Tract 75.02, District of Columbia, District of Columbia","11","001","007502","2"
"268","13","158","Block Group 1, Census Tract 75.03, District of Columbia, District of Columbia","11","001","007503","1"
"269","8","355","Block Group 2, Census Tract 75.03, District of Columbia, District of Columbia","11","001","007503","2"
